Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
1-butyl-3-methylimidazolium hexafluorophosphate,176.5735407,4.782117429,6.711603988,1-butyl-3-methylimidazolium,hexafluorophosphate,CCCCn1cc[n+](C)c1|F[P-](F)(F)(F)(F)F,0.15
1-butyl-3-methylimidazolium hydrogen carbonate,191.9825236,2.167477347,2.771475368,1-butyl-3-methylimidazolium,hydrogen carbonate,CCCCn1cc[n+](C)c1|C(=O)(O)[O-],0.376
1-butyl-3-methylimidazolium iodide,219.194055,3.654498942,4.646897001,1-butyl-3-methylimidazolium,iodide,CCCCn1cc[n+](C)c1|[I-],0.032567501
1-butyl-3-methylimidazolium lactate,197.1284664,4.965496902,7.27655889,1-butyl-3-methylimidazolium,lactate,CCCCn1cc[n+](C)c1|CC(C(=O)[O-])O,0.024768651
1-butyl-3-methylimidazolium methyl sulfate,172.3448,5.488172044,7.964998476,1-butyl-3-methylimidazolium,methyl sulfate,CCCCn1cc[n+](C)c1|O=S(OC)([O-])=O,0.099
1-butyl-3-methylimidazolium phenyltrifluoroborate,184.5227609,3.93930437,5.283548482,1-butyl-3-methylimidazolium,phenyltrifluoroborate,CCCCn1cc[n+](C)c1|F[B-](F)(F)C1=CC=CC=C1,0.191370052
1-butyl-3-methylimidazolium salicylate,258.4303448,0.736811771,1.373407947,1-butyl-3-methylimidazolium,salicylate,CCCCn1cc[n+](C)c1|C1=CC=C(C(=C1)C(=O)O)[O-],0.039
1-butyl-3-methylimidazolium taurate,223.8883413,2.772259917,4.258353707,1-butyl-3-methylimidazolium,taurate,CCCCn1cc[n+](C)c1|C(CS(=O)(=O)[O-])N,0.0161
1-butyl-3-methylimidazolium tetrafluoroborate,173.7693977,4.848737028,6.040600688,1-butyl-3-methylimidazolium,tetrafluoroborate,CCCCn1cc[n+](C)c1|[B-](F)(F)(F)F,0.35
1-butyl-3-methylimidazolium thiocyanate,272.1970959,0.943929004,0.329171316,1-butyl-3-methylimidazolium,thiocyanate,CCCCn1cc[n+](C)c1|C(#N)[S-],0.456
1-butyl-3-methylimidazolium tricyanomethane,185.8812439,3.321590271,2.92801468,1-butyl-3-methylimidazolium,tricyanomethane,CCCCn1cc[n+](C)c1|C(#N)C(C#N)C#N,1.202814163
1-butyl-3-methylimidazolium triflate,142.9805777,5.175347969,8.38313383,1-butyl-3-methylimidazolium,triflate,CCCCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[O-],0.29
1-butyl-3-methylimidazolium trifluoro(2-methoxyphenyl)borate,175.6704708,7.408399583,11.89778633,1-butyl-3-methylimidazolium,trifluoro(2-methoxyphenyl)borate,CCCCn1cc[n+](C)c1|[B-](C1=CC=CC=C1OC)(F)(F)F,0.013903291
1-butyl-3-methylimidazolium trifluoroacetate,174.5970792,4.573265143,5.768567521,1-butyl-3-methylimidazolium,trifluoroacetate,CCCCn1cc[n+](C)c1|C(=O)(C(F)(F)F)[O-],0.332
1-butyl-3-methylimidazolium trifluoromethanesulfonate,143.2755196,5.162284965,8.346204421,1-butyl-3-methylimidazolium,trifluoromethanesulfonate,CCCCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[O-],0.29
"1-butyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",167.4220352,4.342612573,6.125942484,1-butyl-3-methylpyridinium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCC[N+]1=CC=CC(=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.272
1-butyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,187.9488338,3.880819162,4.968635523,1-butyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CC=CC(=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.213910541
1-butyl-3-methylpyridinium dicyanamide,187.4690028,4.507592218,4.310000272,1-butyl-3-methylpyridinium,dicyanamide,CCCC[N+]1=CC=CC(=C1)C|C(#N)[N-]C#N,0.838
1-butyl-3-methylpyridinium tetrafluoroborate,187.0172313,5.029874389,6.091991652,1-butyl-3-methylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=CC(=C1)C|[B-](F)(F)(F)F,0.21
1-butyl-3-pentylimidazolium bis((trifluoromethyl)sulfonyl)imide,167.5047883,4.156995376,6.478049418,1-butyl-3-pentylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCCCC[N+]1=CN(C=C1)CCCC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.164
1-butyl-3-pentylimidazolium bis(trifluoromethylsulfonyl)imide,167.5047883,4.156995376,6.478049418,1-butyl-3-pentylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCC[N+]1=CN(C=C1)CCCC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.164
"1-butyl-4-methyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",190.6701955,3.572413716,5.065036568,"1-butyl-4-methyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,CCCCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.122
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,174.247407,4.147616578,5.385982367,1-butyl-4-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CCCC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.341
1-butyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,174.247407,4.147616578,5.385982367,1-butyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.341
1-butyl-4-methylpyridinium tetrafluoroborate,192.8282286,5.129271462,5.959753764,1-butyl-4-methylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=C(C=C1)C|[B-](F)(F)(F)F,0.1854
1-butylpyridinium bis(trifluoromethylsulfonyl)imide,163.4708769,4.405887511,6.248354779,1-butylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCC[n+]1ccccc1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.325
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,168.9846249,4.278227163,5.82727456,1-butylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[n+]1ccccc1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.3263
1-butylpyridinium dicyanamide,172.3448,4.507104728,4.602451296,1-butylpyridinium,dicyanamide,CCCC[n+]1ccccc1|C(#N)[N-]C#N,1.48
1-butylpyridinium phenyltrifluoroborate,182.6912101,4.385828515,5.959916372,1-butylpyridinium,phenyltrifluoroborate,CCCC[n+]1ccccc1|F[B-](F)(F)C1=CC=CC=C1,0.161555461
1-butylpyridinium tetrafluoroborate,205.9798162,3.785320855,4.002449896,1-butylpyridinium,tetrafluoroborate,CCCC[n+]1ccccc1|[B-](F)(F)(F)F,0.242
1-butylpyridinium triflate,258.0895317,0.383248315,0.52198913,1-butylpyridinium,triflate,CCCC[n+]1ccccc1|C(F)(F)(F)S(=O)(=O)[O-],0.299
1-butylpyridinium trifluoromethanesulfonate,168.5283407,4.962232916,7.035139821,1-butylpyridinium,trifluoromethanesulfonate,CCCC[n+]1ccccc1|C(F)(F)(F)S(=O)(=O)[O-],0.208912014
1-butylpyrrolidinium bis(trifluoromethylsulfonyl)imide,182.0431838,3.862343236,4.893317124,1-butylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCCC[NH+]1CCCC1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.299149329
1-butyronitrile-3-methylimidazolium tetrafluoroborate,174.1181346,4.53348165,6.771603244,1-butyronitrile-3-methylimidazolium,tetrafluoroborate,C[N+]1=CN(C=C1)CCCC|[B-](F)(F)(F)F,0.123
1-cyclopentyl-3-butylimidazolium bis((trifluoromethyl)sulfonyl)imide,164.8781561,4.280007969,6.537373603,1-cyclopentyl-3-butylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCCC[N+]1=CN(C=C1)C2CCCC2|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.197
1-cyclopentyl-3-butylimidazolium bis(trifluoromethylsulfonyl)imide,164.8781561,4.280007969,6.537373603,1-cyclopentyl-3-butylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CN(C=C1)C2CCCC2|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.197
1-decyl-3-methylimidazolium tetrafluoroborate,140.8693669,6.055840787,12.30590552,1-decyl-3-methylimidazolium,tetrafluoroborate,CCCCCCCCCCN1C=C[N+](=C1)C|[B-](F)(F)(F)F,0.0349
"1-decyl-4-methyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",174.0517124,3.474333344,7.076947696,"1-decyl-4-methyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0336
1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)imide,136.197688,2.129910094,6.661510863,1-dodecyl-3-methyl-1H-imidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCCCCCN1C=C[N+](=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0595
1-dodecyl-3-methylimidazolium tetrafluoroborate,137.0837487,6.106459804,13.25778515,1-dodecyl-3-methylimidazolium,tetrafluoroborate,CCCCCCCCCCCCN1C=C[N+](=C1)C|[B-](F)(F)(F)F,0.022504866
"1-dodecyl-4-methyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",177.3787456,3.642032662,7.43617098,"1-dodecyl-4-methyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(CCCCCCCCCCCC)N=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.023
1-ethyl-1-methylpiperidin-1-ium ethyl phosphonate,172.3448,1.424903727,4.156060063,1-ethyl-1-methylpiperidin-1-ium,ethyl phosphonate,CC[N+]1(CCCCC1)C|[O-]P(OCC)=O,0.078
1-ethyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,130.0063738,4.623563094,7.451292201,1-ethyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.493314593
"1-ethyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",167.9226384,4.452396315,5.858494089,"1-ethyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,CCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.383
"1-ethyl-2,3-dimethylimidazolium hydrogen sulfate",139.9928795,6.309593636,10.79019591,"1-ethyl-2,3-dimethylimidazolium",hydrogen sulfate,CCN1C=C[N+](=C1C)C|OS(=O)(=O)[O-],0.15
1-ethyl-2-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,180.6522066,4.128020643,5.130187358,1-ethyl-2-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CC[N+]1=CC=CC=C1C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.326
1-ethyl-2-methylpyridinium bis(trifluoromethylsulfonyl)imide,180.6522066,4.128020643,5.130187358,1-ethyl-2-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CC[N+]1=CC=CC=C1C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.326
1-ethyl-3-methyl-1H-imidazolium bis(fluorosulfonyl)amide,136.696832,4.806129739,5.811150211,1-ethyl-3-methyl-1H-imidazolium,bis(fluorosulfonyl)amide,CC[NH+]1CN(C=C1)C|[N-](S(=O)(=O)F)S(=O)(=O)F,1.64
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,196.7749548,3.746105059,3.381619279,1-ethyl-3-methyl-1H-imidazolium,tricyanomethanide,CC[NH+]1CN(C=C1)C|C(#N)[C-](C#N)C#N,0.76
1-ethyl-3-methylimidazolium 2-(2-methoxyethoxy) ethylsulfate,191.1509185,4.059004528,5.316383665,1-ethyl-3-methylimidazolium,2-(2-methoxyethoxy) ethylsulfate,CCn1cc[n+](C)c1|COCCOCCOS(=O)(=O)[O-],0.147
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,197.2115906,3.920596749,5.33560253,1-ethyl-3-methylimidazolium,4-methylbenzenesulfonate,CCn1cc[n+](C)c1|CC1=CC=C(C=C1)S(=O)(=O)[O-],0.0865
1-ethyl-3-methylimidazolium acetate,181.0125652,5.062255177,6.071595558,1-ethyl-3-methylimidazolium,acetate,CCn1cc[n+](C)c1|CC(=O)[O-],0.287
1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,167.5213349,3.967600134,4.42415589,1-ethyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.86
1-ethyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,171.0099573,3.859738522,4.177357658,1-ethyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.86
1-ethyl-3-methylimidazolium bromide,207.2904804,4.938902537,5.237217592,1-ethyl-3-methylimidazolium,bromide,CCn1cc[n+](C)c1|[Br-],0.136138724
1-ethyl-3-methylimidazolium chloride,172.3448,7.007919341,10.25463337,1-ethyl-3-methylimidazolium,chloride,CCn1cc[n+](C)c1|[Cl-],0.061037535
1-ethyl-3-methylimidazolium decyl sulfate,258.2290518,4.032427642,3.509693274,1-ethyl-3-methylimidazolium,decyl sulfate,CCn1cc[n+](C)c1|CCCCCCCCCCOS(=O)(=O)[O-],0.001441552
1-ethyl-3-methylimidazolium dicyanamide,160.8485115,4.677229928,4.183555159,1-ethyl-3-methylimidazolium,dicyanamide,CCn1cc[n+](C)c1|C(#N)[N-]C#N,2.63
"1-ethyl-3-methylimidazolium difluorobis(2,2,2-trifluoroacetoxy)borate",174.1063226,4.065884309,4.082318652,1-ethyl-3-methylimidazolium,"difluorobis(2,2,2-trifluoroacetoxy)borate",CCn1cc[n+](C)c1|[B-](OC(=O)C(F)(F)F)(OC(=O)C(F)(F)F)(F)F,1.117
1-ethyl-3-methylimidazolium difluorobis(acetato)borate,186.1563398,5.09372411,6.031412329,1-ethyl-3-methylimidazolium,difluorobis(acetato)borate,CCn1cc[n+](C)c1|B([O-])(OOC(=O)CF)OOC(=O)CF,0.2539
1-ethyl-3-methylimidazolium difluoromono(malonato)borate,197.5936728,4.461476972,4.621777493,1-ethyl-3-methylimidazolium,difluoromono(malonato)borate,CCn1cc[n+](C)c1|[B-]1(OC(=O)CC(=O)O1)(F)F,0.3456
1-ethyl-3-methylimidazolium difluoromono(oxalato)borate,201.0851607,4.383463136,3.871182086,1-ethyl-3-methylimidazolium,difluoromono(oxalato)borate,CCn1cc[n+](C)c1|[B-]1(OC(=O)C(=O)O1)(F)F,0.6619
1-ethyl-3-methylimidazolium ethyl sulfate,178.7314543,4.602343316,5.544373214,1-ethyl-3-methylimidazolium,ethyl sulfate,CCn1cc[n+](C)c1|CCOS(=O)(=O)[O-],0.381
1-ethyl-3-methylimidazolium hexafluorophosphate,172.3448,4.899131686,6.045055782,1-ethyl-3-methylimidazolium,hexafluorophosphate,CCn1cc[n+](C)c1|F[P-](F)(F)(F)(F)F,0.414622268
1-ethyl-3-methylimidazolium iodide,44.95538301,12.31621891,34.02187304,1-ethyl-3-methylimidazolium,iodide,CCn1cc[n+](C)c1|[I-],0.021370794
1-ethyl-3-methylimidazolium methanesulfonate,196.5315509,4.396080164,4.826363944,1-ethyl-3-methylimidazolium,methanesulfonate,CCn1cc[n+](C)c1|CS(=O)(=O)[O-],0.2594
1-ethyl-3-methylimidazolium methyl sulfate,182.3317258,4.438601477,4.803242954,1-ethyl-3-methylimidazolium,methyl sulfate,CCn1cc[n+](C)c1|O=S(OC)([O-])=O,0.547
1-ethyl-3-methylimidazolium methylsulfate,182.3317351,4.438601177,4.803242281,1-ethyl-3-methylimidazolium,methylsulfate,CCn1cc[n+](C)c1|COS(=O)(=O)[O-],0.602
1-ethyl-3-methylimidazolium octyl sulfate,156.2237298,5.049572646,9.598466021,1-ethyl-3-methylimidazolium,octyl sulfate,CCn1cc[n+](C)c1|CCCCCCCCOS(=O)(=O)[O-],0.046
1-ethyl-3-methylimidazolium phenyltrifluoroborate,172.3448,4.447057706,5.269422337,1-ethyl-3-methylimidazolium,phenyltrifluoroborate,CCn1cc[n+](C)c1|F[B-](F)(F)C1=CC=CC=C1,0.553829397
1-ethyl-3-methylimidazolium tetracyanoborate,187.2415383,4.041438932,3.320756439,1-ethyl-3-methylimidazolium,tetracyanoborate,CCn1cc[n+](C)c1|[B-](C#N)(C#N)(C#N)C#N,1.556
1-ethyl-3-methylimidazolium tetrafluoroborate,246.3580214,3.150522361,1.317348988,1-ethyl-3-methylimidazolium,tetrafluoroborate,CCn1cc[n+](C)c1|[B-](F)(F)(F)F,0.91
1-ethyl-3-methylimidazolium thiocyanate,66.38785152,5.697097637,9.770151459,1-ethyl-3-methylimidazolium,thiocyanate,CCn1cc[n+](C)c1|C(#N)[S-],1.874
1-ethyl-3-methylimidazolium tosylate,294.2588043,2.767857136,1.687910043,1-ethyl-3-methylimidazolium,tosylate,CCn1cc[n+](C)c1|CC1=CC=C(C=C1)S(=O)(=O)[O-],3.49E-22
1-ethyl-3-methylimidazolium triflate,220.7696864,2.015936917,1.3658888,1-ethyl-3-methylimidazolium,triflate,CCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[O-],0.81
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,155.0880504,4.590578605,5.55910012,1-ethyl-3-methylimidazolium,trifluoromethanesulfonate,CCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[O-],0.81
1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,168.1716706,4.15702071,5.163605764,1-ethyl-3-methylimidazolium,tris(pentafluoroethyl)trifluorophosphate,CCn1cc[n+](C)c1|C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.539
1-ethyl-3-methylpyridinium perfluoropentanoate,174.0589253,4.293891958,6.61702236,1-ethyl-3-methylpyridinium,perfluoropentanoate,CC[N+]1=CC=CC(=C1)C|C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],0.12
"1-ethyl-4-methyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",186.1757294,3.743972381,4.528868278,"1-ethyl-4-methyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,CCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.324
1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,174.9236651,3.969730628,4.342179099,1-ethyl-4-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.763
1-ethyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,174.9236651,3.969730628,4.342179099,1-ethyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.763
1-ethylimidazolium bis(trifluoromethylsulfonyl)imide,121.2025683,4.659126182,7.982464003,1-ethylimidazolium,bis(trifluoromethylsulfonyl)imide,CC[N+]1=CNC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.568
1-ethylpyridinium bis(trifluoromethylsulfonyl)imide,228.7729425,2.149578419,1.426511231,1-ethylpyridinium,bis(trifluoromethylsulfonyl)imide,CC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.786
1-ethylpyridinium bis[(trifluoromethyl)sulfonyl]imide,99.24996584,5.942535692,10.64783121,1-ethylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,CC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.599
1-ethylpyridinium dicyanamide,76.60971492,7.422921063,12.69345306,1-ethylpyridinium,dicyanamide,CC[N+]1=CC=CC=C1|C(#N)[N-]C#N,1.718
1-hexadecyl-3-methylimidazolium tetrafluoroborate,263.8043248,1.661228867,2.572290358,1-hexadecyl-3-methylimidazolium,tetrafluoroborate,CC[N+]1=CC=C(C=C1)C|[B-](F)(F)(F)F,0.000677
1-hexyl-1-methylpiperidin-1-ium hexylphosphonate,172.3448,-0.062929888,3.252417108,1-hexyl-1-methylpiperidin-1-ium,hexylphosphonate,CCCCCC[N+]1(CCCCC1)C|CCCCCCOP([O-])([H])=O,0.042
1-hexyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,126.8792847,5.072857691,9.830995805,1-hexyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCCCCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.16
"1-hexyl-2,3-dimethylimidazolium bis(trifluoromethylsulfonyl)imide",266.0877147,0.614249821,0.757016649,"1-hexyl-2,3-dimethylimidazolium",bis(trifluoromethylsulfonyl)imide,CCCCCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.108
"1-hexyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",266.0877147,0.614249821,0.757016649,"1-hexyl-2,3-dimethylimidazolium",bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.108
1-hexyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,169.8383237,4.055412499,5.939119642,1-hexyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2163
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,170.9285926,4.029764873,5.863015268,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCn1cc[n+](C)c1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.2178
1-hexyl-3-methylimidazolium chloride,176.5734395,7.753294161,14.19544167,1-hexyl-3-methylimidazolium,chloride,CCCCCCn1cc[n+](C)c1|[Cl-],0.001853558
1-hexyl-3-methylimidazolium dicyanamide,190.1767925,3.633333467,3.853284683,1-hexyl-3-methylimidazolium,dicyanamide,CCCCCCn1cc[n+](C)c1|C(#N)[N-]C#N,0.517
1-hexyl-3-methylimidazolium hexafluorophosphate,170.9318974,5.198394663,8.578683576,1-hexyl-3-methylimidazolium,hexafluorophosphate,CCCCCCn1cc[n+](C)c1|F[P-](F)(F)(F)(F)F,0.0524
1-hexyl-3-methylimidazolium tetrafluoroborate,166.169075,5.080901962,7.859214527,1-hexyl-3-methylimidazolium,tetrafluoroborate,CCCCCCn1cc[n+](C)c1|[B-](F)(F)(F)F,0.128
1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,185.0583668,3.574417355,5.044912534,1-hexyl-3-methylimidazolium,tris(pentafluoroethyl)trifluorophosphate,CCCCCCn1cc[n+](C)c1|C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.1665
"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",167.2426317,4.287920705,6.737064344,1-hexyl-3-methylpyridinium,"1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CCCCCC[N+]1=CC=CC(=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.148
1-hexyl-3-methylpyridinium bis(trifluoromethylsulfonyl)imide,167.2426317,4.287920705,6.737064344,1-hexyl-3-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCCCC[N+]1=CC=CC(=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.148
"1-hexyl-4-methyl-1H-1,2,4-triazol-4-ium bis(trifluoromethylsulfonyl)imide",198.3485243,3.407496583,5.102939809,"1-hexyl-4-methyl-1H-1,2,4-triazol-4-ium",bis(trifluoromethylsulfonyl)imide,CCCCCCN1C=[N+](C=N1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.0638
1-hexyl-4-methylpyridinium bis(trifluoromethanesulfonyl)imide,176.6736251,3.983326738,5.727608642,1-hexyl-4-methylpyridinium,bis(trifluoromethanesulfonyl)imide,CCCCCC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,0.1852
1-hexyl-4-methylpyridinium bis(trifluoromethylsulfonyl)imide,176.6736251,3.983326738,5.727608642,1-hexyl-4-methylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCCCC[N+]1=CC=C(C=C1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1852
1-hexylpyridinium bis(trifluoromethylsulfonyl)imide,179.1400789,3.516662658,5.302092811,1-hexylpyridinium,bis(trifluoromethylsulfonyl)imide,CCCCCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.166
1-hexylpyridinium bis(trifluromethylsulfonyl)imide,154.1015862,4.980251924,8.124117589,1-hexylpyridinium,bis(trifluromethylsulfonyl)imide,CCCCCC[N+]1=CC=CC=C1|FC(F)(F)S([N-]S(C(F)(F)F)(=O)=O)(=O)=O,0.166
1-hexylpyridinium dicyanamide,170.7942778,4.72847283,5.825440595,1-hexylpyridinium,dicyanamide,CCCCCC[N+]1=CC=CC=C1|C(#N)[N-]C#N,0.46
1-methyl-1-(2-propoxyethyl)pyrrolidinium bis(trifluoromethylsulfonyl)imide,190.8533567,1.321798251,2.412105514,1-methyl-1-(2-propoxyethyl)pyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCCOCC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.249
1-methyl-1-octylpiperidin-1-ium octyl phosphonate,172.3448,-1.002704243,2.523324944,1-methyl-1-octylpiperidin-1-ium,octyl phosphonate,CCCCCCCC[N+]1(CCCCC1)C|CCCCCCCCP(=O)([O-])[O-],0.033
