Ionic Liquid,T0_1s,lnA,Ea(kJ/mol),Cations,Anions,SMILES,conductivity(S/m)
1-(2-hydroxyethyl)-3-methylimidazolium perfluoropentanoate,158.2332173,6.743188594,11.85492538,1-(2-hydroxyethyl)-3-methylimidazolium,perfluoropentanoate,C[N+]1=CN(C=C1)CCO|C(=O)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)[O-],0.0315
1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,189.7697871,4.124759109,5.027521134,1-(2-hydroxyethyl)-pyridinium,bis(trifluoromethylsulfonyl)imide,C1=CC=[N+](C=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.233
1-(2-methoxyethyl)-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,172.3448,1.700680477,3.44025092,1-(2-methoxyethyl)-1-methylpiperidinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.209
1-(2-methoxyethyl)-1-methylpyrrolidinium bis((trifluoromethyl)sulfonyl)amide,250.6842553,0.216694075,0.500063247,1-(2-methoxyethyl)-1-methylpyrrolidinium,bis((trifluoromethyl)sulfonyl)amide,C[N+]1(CCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.345
1-(2-methoxyethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,195.1715675,1.16911856,1.843158234,1-(2-methoxyethyl)-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.388
1-(2-methoxyethyl)-3-ethylimidazolium perrhenate,216.9615137,1.55959594,2.369557134,1-(2-methoxyethyl)-3-ethylimidazolium,perrhenate,CCN1C=C[N+](=C1)CCOC|[O-][Re](=O)(=O)=O,0.142
1-(2-methoxyethyl)-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)imide,201.3509304,1.486476001,1.805790802,1-(2-methoxyethyl)-3-methyl-1H-imidazolium,bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)CCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.468
1-(2-methoxyethyl)pyridinium bis(trifluoromethylsulfonyl)imide,213.2269642,1.323904908,1.625509641,1-(2-methoxyethyl)pyridinium,bis(trifluoromethylsulfonyl)imide,COCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.379
1-(2-propoxyethyl)pyridinium bis(trifluoromethylsulfonyl)imide,206.9029596,1.235595138,1.949786136,1-(2-propoxyethyl)pyridinium,bis(trifluoromethylsulfonyl)imide,CCCOCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.261
1-(3-((3-butoxy-2-hydroxypropyl)amino)propyl)-1H-imidazol-3-ium ethanesulfonate,182.2829426,1.769442854,6.005751782,1-(3-((3-butoxy-2-hydroxypropyl)amino)propyl)-1H-imidazol-3-ium,ethanesulfonate,C(CCCCC(O[H])CN(CCC[N]1C=C[N+](=C1)[H])[H])C|CCS(=O)(=O)[O-],0.01150474
1-(3-cyanopropyl)-3-methylimidazolium cyanocyanamide,249.4218627,3.520285347,1.774710275,1-(3-cyanopropyl)-3-methylimidazolium,cyanocyanamide,C[N+]1=CN(C=C1)CCCC#N|C(#N)NC#N,0.423011739
1-(3-methoxypropyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,186.1702302,1.451516925,2.560561617,1-(3-methoxypropyl)-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,C[N+]1(CCCC1)CCCOC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.273
1-(3-methoxypropyl)pyridinium bis(trifluoromethylsulfonyl)imide,198.9118133,1.432518072,2.131642669,1-(3-methoxypropyl)pyridinium,bis(trifluoromethylsulfonyl)imide,COCCC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.314
1-(ethoxymethyl)-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,191.0696339,1.254466991,1.701070838,1-(ethoxymethyl)-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,COC[N+]1(CCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.514
1-(ethoxymethyl)pyridinium bis(trifluoromethylsulfonyl)imide,207.3313708,1.409210457,1.726301746,1-(ethoxymethyl)pyridinium,bis(trifluoromethylsulfonyl)imide,CCOC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.414
1-(methoxymethyl)-1-methylpyrrolidinium bis(fluorosulfonyl)amide,146.8009828,4.118057243,5.141725846,1-(methoxymethyl)-1-methylpyrrolidinium,bis(fluorosulfonyl)amide,C[N+]1(CCCC1)COC|[N-](S(=O)(=O)F)S(=O)(=O)F,1.033
1-(methoxymethyl)-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,214.8215547,1.492602462,1.58407828,1-(methoxymethyl)-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,C[N+]1=CN(C=C1)COC|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.456
1-(methoxymethyl)pyridinium bis(trifluoromethylsulfonyl)imide,199.2939913,1.757120055,2.084700687,1-(methoxymethyl)pyridinium,bis(trifluoromethylsulfonyl)imide,COC[N+]1=CC=CC=C1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.458
1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,138.5572095,4.699605348,7.50517466,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium,bis((trifluoromethyl)sulfonyl)amide,C=CCN1C=C[N+](=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.384135161
1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium bis(trifluoromethylsulfonyl)imide,138.5572095,4.699605348,7.50517466,1-allyl-3-(2-methoxyethyl)-1H-imidazol-3-ium,bis(trifluoromethylsulfonyl)imide,C=CCN1C=C[N+](=C1)CCO|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.384135161
1-allyl-3-methylimidazolium chloride,295.6475692,-5.280876638,-0.0055303,1-allyl-3-methylimidazolium,chloride,C[N+]1=CN(C=C1)CC=C|[Cl-],0.00695
1-butyl-1-methylpiperidin-1-ium butyl phosphonate,172.3448,1.68342459,5.397856803,1-butyl-1-methylpiperidin-1-ium,butyl phosphonate,CCCC[N+]1(CCCCC1)C|CCCCOP([O-])([H])=O,0.031
1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,177.6677449,4.316701162,6.308549309,1-butyl-1-methylpiperidinium,bis(trifluoromethanesulfonyl)imide,CCCC[N+]1(CCCCC1)C|C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,0.139
1-butyl-1-methylpiperidinium bis(trifluoromethylsulfonyl)imide,177.6677449,4.316701162,6.308549309,1-butyl-1-methylpiperidinium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(CCCCC1)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.139
1-butyl-1-methylpiperidinium phenyltrifluoroborate,122.631668,9.129346216,18.80223717,1-butyl-1-methylpiperidinium,phenyltrifluoroborate,CCCC[N+]1(CCCCC1)C|F[B-](F)(F)C1=CC=CC=C1,0.023390291
1-butyl-1-methylpyrrolidin-1-ium butyl phosphonate,172.3448,2.298922723,6.172851325,1-butyl-1-methylpyrrolidin-1-ium,butyl phosphonate,CCCC[N+]1(CCCC1)C|CCCCOP([O-])([H])=O,0.027
1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,217.4389541,2.547845893,1.914304918,1-butyl-1-methylpyrrolidinium,bis(fluorosulfonyl)amide,CCCC[N+]1(C)CCCC1|[N-](S(=O)(=O)F)S(=O)(=O)F,0.619
1-butyl-1-methylpyrrolidinium bis(trifluoromethylsulfonyl)imide,178.1910793,3.821781228,5.093649209,1-butyl-1-methylpyrrolidinium,bis(trifluoromethylsulfonyl)imide,CCCC[N+]1(C)CCCC1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.28
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,185.3505224,3.546291149,4.486380063,1-butyl-1-methylpyrrolidinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1(C)CCCC1|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.22
1-butyl-1-methylpyrrolidinium dicyanamide,168.7735119,4.4069028,4.498519223,1-butyl-1-methylpyrrolidinium,dicyanamide,CCCC[N+]1(C)CCCC1|C(#N)[N-]C#N,1.315
1-butyl-1-methylpyrrolidinium phenyltrifluoroborate,167.0433327,5.261544986,8.124069058,1-butyl-1-methylpyrrolidinium,phenyltrifluoroborate,CCCC[N+]1(C)CCCC1|F[B-](F)(F)C1=CC=CC=C1,0.111739285
1-butyl-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,210.7325377,2.640281102,3.500972763,1-butyl-1-methylpyrrolidinium,tris(pentafluoroethyl)trifluorophosphate,CCCC[N+]1(C)CCCC1|C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,0.113
"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",192.0026369,3.562464681,4.444521594,"1-butyl-2,3-dimethyl-1H-imidazolium",bis(trifluoromethylsulfonyl)amide,CCCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.23
"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)imide",189.167847,3.711992317,4.704623592,"1-butyl-2,3-dimethyl-1H-imidazolium",bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.222
"1-butyl-2,3-dimethylimidazolium azide",216.0802595,5.023121193,5.822172539,"1-butyl-2,3-dimethylimidazolium",azide,CCCCN1C=C[N+](=C1C)C|[N-]=[N+]=[N-],0.029906269
"1-butyl-2,3-dimethylimidazolium hydrogen sulfate",195.0460245,4.286483298,5.649376609,"1-butyl-2,3-dimethylimidazolium",hydrogen sulfate,CCCCN1C=C[N+](=C1C)C|OS(=O)(=O)[O-],0.1
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",174.0207532,6.43623159,9.679529467,"1-butyl-2,3-dimethylimidazolium",tetrafluoroborate,CCCCN1C=C[N+](=C1C)C|[B-](F)(F)(F)F,0.052704129
"1-butyl-2,3-dimethylimidazolium thiocyanate",199.8983464,4.763285665,5.143276178,"1-butyl-2,3-dimethylimidazolium",thiocyanate,CCCCN1C=C[N+](=C1C)C|C(#N)[S-],0.217
"1-butyl-2,3-dimethylpyridinium bis(trifluoromethylsulfonyl)imide",185.5469143,4.139133538,5.624250164,"1-butyl-2,3-dimethylpyridinium",bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CC=CC(=C1C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1541
1-butyl-2-methylpyridinium tetrafluoroborate,194.1852203,5.02723211,6.32218851,1-butyl-2-methylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=CC=C1C|[B-](F)(F)(F)F,0.1012
"1-butyl-3,5-dimethylpyridinium bis(trifluoromethylsulfonyl)imide",175.2068941,4.21870501,5.964315712,"1-butyl-3,5-dimethylpyridinium",bis(trifluoromethylsulfonyl)imide,CCCC[N+]1=CC(=CC(=C1)C)C|C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.1984
