Name,SMILES,Cation_SMILES,Anion_SMILES,Reduction Potential (V),Oxidation Potential (V),ECW (V)
N-butylethanolammonium laurate,CCCCCCCCCCCC(=O)[O-].CCCC[NH2+]CCO,CCCC[NH2+]CCO,CCCCCCCCCCCC(=O)[O-],-1.618141439999582,-0.4830364800016835,1.1351049599978984
dodecanoic acid cyclohexanamine salt (1:1),CCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4830364800016835,-6.266118400002777
tridecanoic acid cyclohexylamine salt (1:1),CCCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4814262399983278,-6.264508159999422
1-ethyl-3-methylimidazolium tetradecanoate,CCCCCCCCCCCCCC(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCCCCCCCCCCCCC(=O)[O-],-1.364969279999914,-0.4800199999990951,0.884949280000819
1-(3-hydroxypropyl)-3-methylimidazolium myristate,CCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCCO)c1,C[n+]1ccn(CCCO)c1,CCCCCCCCCCCCCC(=O)[O-],-1.507799200000173,-0.4800199999990951,1.027779200001078
1-(2-hydroxyethyl)-3-methylimidazolium myristate,CCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCO)c1,C[n+]1ccn(CCO)c1,CCCCCCCCCCCCCC(=O)[O-],-1.478355200000297,-0.4800199999990951,0.998335200001202
tetradecanoic acid cyclohexanamine salt(1:1),CCCCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4800199999990951,-6.26310192000019
N-butylethanolammonium palmitate,CCCCCCCCCCCCCCCC(=O)[O-].CCCC[NH2+]CCO,CCCC[NH2+]CCO,CCCCCCCCCCCCCCCC(=O)[O-],-1.618141439999582,-0.4781595200013187,1.1399819199982633
1-ethyl-3-methylimidazolium palmitate,CCCCCCCCCCCCCCCC(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCCCCCCCCCCCCCCC(=O)[O-],-1.364969279999914,-0.4781595200013187,0.8868097599985953
1-(3-hydroxypropyl)-3-methylimidazolium palmitate,CCCCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCCO)c1,C[n+]1ccn(CCCO)c1,CCCCCCCCCCCCCCCC(=O)[O-],-1.507799200000173,-0.4781595200013187,1.0296396799988543
1-(2-hydroxyethyl)-3-methylimidazolium palmitate,CCCCCCCCCCCCCCCC(=O)[O-].C[n+]1ccn(CCO)c1,C[n+]1ccn(CCO)c1,CCCCCCCCCCCCCCCC(=O)[O-],-1.478355200000297,-0.4781595200013187,1.0001956799989784
hexadecanoic acid cyclohexanamine salt (1:1),CCCCCCCCCCCCCCCC(=O)[O-].[N+]C1CCCCC1,[N+]C1CCCCC1,CCCCCCCCCCCCCCCC(=O)[O-],5.783081920001094,-0.4781595200013187,-6.261241440002413
