Name,SMILES,Melting_Point_Average(K)
3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium di(dicyanamide),C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.N#C[N-]C#N.N#C[N-]C#N,292
3-(2-azido-3-(1-methyl-1H-imidazol-3-ium-3-yl)propyl)-1-vinyl-1H-imidazol-3-ium dibromide,C=Cn1cc[n+](CC(C[n+]2ccn(C)c2)N=[N+]=[N-])c1.[Br-].[Br-],296
1-vinyl-3-butylimidazolium bromide,C=Cn1cc[n+](CCCC)c1.[Br-],356.15
1-(2-butynyl)-3-methyl-imidazolium azide,CC#CCn1cc[n+](C)c1.[N-]=[N+]=[N-],339.15
"(t-4)-bis(2,4-pentanedionato-O,O')beryllium",CC(=O)/C=C(/C)[O-].CC(=O)/C=C(/C)[O-].[Be+2],381.1
N-(2-acetyloxy)ethyl-N-methylmorpholinium bromide,CC(=O)OCC[N+]1(C)CCOCC1.[Br-],406.4
tris(2-hydroxypropyl)ammonium acetylsalicylate,CC(=O)Oc1ccccc1C(=O)[O-].CC(O)C[NH+](CC(C)O)CC(C)O,369.1
1-hexadecyl-1-methylpiperidinium acetylsalicylate,CC(=O)Oc1ccccc1C(=O)[O-].CCCCCCCCCCCCCCCC[N+]1(C)CCCCC1,303.9
1-hexadecylpyridinium acetylsalicylate,CC(=O)Oc1ccccc1C(=O)[O-].CCCCCCCCCCCCCCCC[n+]1ccccc1,316.4
"1-Butyl-3-methylimidazolium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.CCCCn1cc[n+](C)c1,244.15
"N-methyl-N-ethyl-pyrrolidinium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.CC[N+]1(C)CCCC1,244.65
"N-Ethyl-N-methylpiperidinium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.CC[N+]1(C)CCCCC1,268.75
"Ethylpyridinium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.CC[n+]1ccccc1,256.95
"1-Ethyl-3-methylimidazolium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.CCn1cc[n+](C)c1,243.85
"1-(2-Methoxyethyl)-3-methylimidazolium 1,1-dicyano-1-acetylmethanide",CC(=O)[C-](C#N)C#N.COCCn1cc[n+](C)c1,243.85
"N, N, N-trioctyl-N-methylammonium acetate",CC(=O)[O-].CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,251.15
triethylbutylammonium acetate,CC(=O)[O-].CCCC[N+](CC)(CC)CC,300.85
Tetrabutylammonium Acetate,CC(=O)[O-].CCCC[N+](CCCC)(CCCC)CCCC,363.15
N-methyl-N-butyl-pyrrolidinium acetate,CC(=O)[O-].CCCC[N+]1(C)CCCC1,350.15
Tetra(n-butyl)phosphonium Acetate,CC(=O)[O-].CCCC[P+](CCCC)(CCCC)CCCC,330.15
N-methyl-N-propylpyrrolidinium acetate,CC(=O)[O-].CCC[N+]1(C)CCCC1,289.8
Diethoxyethyl-dimethylammonium acetate,CC(=O)[O-].CCOC(C[NH+](C)C)OCC,307.45
Diethoxymethylene-dimethylammonium acetate,CC(=O)[O-].CCOC(OCC)=[N+](C)C,312.85
Ethoxymethylene-dimethyl-ethylammonium acetate,CC(=O)[O-].CCOC=C(C)[NH+](C)C,309.25
Ethoxymethylene-ethoxyethyl-ethylammonium acetate,CC(=O)[O-].CCOC=[N+](CC)CCOCC,304.25
Dimethyl-diethylammonium Acetate,CC(=O)[O-].CC[N+](C)(C)CC,357
4-Benzyl-4-ethylmorpholinium acetate,CC(=O)[O-].CC[N+]1(Cc2ccccc2)CCOCC1,298.15
diethylammonium acetate,CC(=O)[O-].CC[NH2+]CC,320.6
ethylammonium acetate,CC(=O)[O-].CC[NH3+],360.125
1-ethyl-3-methylimidazolium acetate,CC(=O)[O-].CCn1cc[n+](C)c1,251.65
"1-methyl-1,2,3,4,5,6,7,8-octahydropyrimido[1,2-a]pyrimidin-5-ium acetate",CC(=O)[O-].CN1CCC[NH+]2CCCN=C12,349
bis(2-methoxyethyl)ammonium Acetate,CC(=O)[O-].COCC[NH2+]CCOC,279.05
4-Benzyl-4-methylmorpholinium acetate,CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,298.15
1-(2-hydroxyethyl)-3-methylimidazolium acetate,CC(=O)[O-].C[n+]1ccn(CCO)c1,330.1
"1,3-dimethylimidazolium acetate",CC(=O)[O-].Cn1cc[n+](C)c1,303.55
1-methylimidazolium acetate,CC(=O)[O-].Cn1cc[nH+]c1,250.15
1-(1-Cyanoethyl)-3-methylimidazolium nitrate,CC(C#N)n1cc[n+](C)c1.O=[N+]([O-])[O-],315.15
1-(1-Cyanoethyl)-3-methylimidazolium bromide,CC(C#N)n1cc[n+](C)c1.[Br-],404.15
choline pivalate,CC(C)(C)C(=O)[O-].C[N+](C)(C)CCO,369.1
L-phenylalanine tert-butyl ester bis(perfluoroethylsulfonyl)imide,CC(C)(C)OC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,385.78
L-phenylalanine tert-butyl ester bis(trifluoromethylsulfonyl)amide,CC(C)(C)OC(=O)[C@@H]([NH3+])Cc1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,378.75
N-(tert-butyl)ethanolammonium laurate,CC(C)(C)[NH2+]CCO.CCCCCCCCCCCC(=O)[O-],320.1
N-(tert-butyl)ethanolammonium palmitate,CC(C)(C)[NH2+]CCO.CCCCCCCCCCCCCCCC(=O)[O-],321.1
