SerialNumber,Name,SMILES,SAscore
51,a-c4+a-b1+a-b8,CCCC[N-]S(=O)(=O)C(F)(F)C(F)(F)F,3.894226673897472
52,a-c4+a-b2+a-b3,CCCCCCCCCCCC[N-]c1cccc(C)c1C,2.947585158893707
53,a-c4+a-b2+a-b4,CCCCC(CC)C[N-]c1cccc(C)c1C,3.7484789817288187
54,a-c4+a-b2+a-b5,Cc1cccc([N-]S(=O)(=O)C(F)(F)F)c1C,3.4961214584627776
55,a-c4+a-b2+a-b6,Cc1cccc([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1C,3.5027926753825973
56,a-c4+a-b2+a-b7,CC[N-]c1cccc(C)c1C,3.611837259374153
57,a-c4+a-b2+a-b8,CCCC[N-]c1cccc(C)c1C,3.510343596162672
58,a-c4+a-b3+a-b4,CCCCCCCCCCCC[N-]CC(CC)CCCC,3.453659768274605
59,a-c4+a-b3+a-b5,CCCCCCCCCCCC[N-]S(=O)(=O)C(F)(F)F,3.1087824620581053
60,a-c4+a-b3+a-b6,CCCCCCCCCCCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.308412613828918
61,a-c4+a-b3+a-b7,CCCCCCCCCCCC[N-]CC,3.0154400955481027
62,a-c4+a-b3+a-b8,CCCCCCCCCCCC[N-]CCCC,2.9563881736102324
63,a-c4+a-b4+a-b5,CCCCC(CC)C[N-]S(=O)(=O)C(F)(F)F,4.043562240451555
64,a-c4+a-b4+a-b6,CCCCC(CC)C[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.005987805855305
65,a-c4+a-b4+a-b7,CCCCC(CC)C[N-]CC,4.207175714908895
66,a-c4+a-b4+a-b8,CCCC[N-]CC(CC)CCCC,4.075927436312799
67,a-c4+a-b5+a-b6,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,3.6106248068983167
68,a-c4+a-b5+a-b7,CC[N-]S(=O)(=O)C(F)(F)F,4.246011674367821
69,a-c4+a-b5+a-b8,CCCC[N-]S(=O)(=O)C(F)(F)F,3.9817554075616837
70,a-c4+a-b6+a-b7,CC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.717895097370671
71,a-c4+a-b6+a-b8,CCCC[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.679582986948007
72,a-c4+a-b7+a-b8,CCCC[N-]CC,4.589671359803431
73,a-c5+a-b1,O=C([O-])S(=O)(=O)C(F)(F)C(F)(F)F,3.494441288470364
74,a-c5+a-b2,Cc1cccc(C(=O)[O-])c1C,2.429749407915267
75,a-c5+a-b3,CCCCCCCCCCCCC(=O)[O-],2.3076770748478737
76,a-c5+a-b4,CCCCC(CC)CC(=O)[O-],3.376724627375739
77,a-c5+a-b5,O=C([O-])S(=O)(=O)C(F)(F)F,3.4761670255383894
78,a-c5+a-b6,O=C([O-])S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.3257377547133284
79,a-c5+a-b7,CCC(=O)[O-],3.368664745924727
80,a-c5+a-b8,CCCCC(=O)[O-],3.1126928172933095
